feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Site	Proximal_Colon	1.47244850620202	0.225197815107084	53	53	1.97973564923043e-07	5.17370916332218e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	Site	Proximal_Colon	1.932665193957	0.294207657134228	53	52	1.89137740497375e-07	5.17370916332218e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas	Site	Cecum	1.34909152230698	0.209081350357772	53	53	2.44395425144554e-07	5.69294429901514e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__	Site	Cecum	0.577119892628235	0.089256077259675	53	48	2.46887890518514e-07	5.69294429901514e-06
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Site	Cecum	0.966070604595269	0.152920104973619	53	53	3.72286837089399e-07	8.10758000772468e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__	Site	Cecum	1.98432498427205	0.314332195965696	53	51	4.45500083122759e-07	9.1913701360064e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	Site	Cecum	2.04030897946799	0.327893011067702	53	52	4.87962296236763e-07	9.56406100624056e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	Site	Cecum	1.60074662138896	0.258607824715399	53	53	5.36961415807861e-07	1.00232797617467e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis	Site	Cecum	1.3890152995656	0.226210420623502	53	53	6.19772938150516e-07	1.10432268979547e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214.group	Site	Cecum	1.59433109113465	0.262735892889091	53	51	8.25037943786799e-07	1.40615162593228e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__	Site	Cecum	1.96531763973503	0.32861710312984	53	51	9.62101131090588e-07	1.57143184744796e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	Site	Proximal_Colon	1.5121782456542	0.253351283674128	53	53	1.04623459849193e-06	1.64049585043534e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	Site	Cecum	1.7755776403427	0.300230525772233	53	52	1.25361266621338e-06	1.89006217367556e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Site	Proximal_Colon	1.25811671927197	0.213674869204634	53	53	1.31538287096507e-06	1.90974105710485e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	Site	Cecum	1.69449902074355	0.289342652133084	53	51	1.46403761216096e-06	2.04965265702534e-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__	Site	Cecum	0.929300102332682	0.160820479288001	53	53	1.83978993790826e-06	2.47445476335125e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__	Site	Proximal_Colon	1.62596613160439	0.281975321977306	53	52	1.89371538011575e-06	2.47445476335125e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	Site	Proximal_Colon	1.31810883315708	0.229550946866376	53	53	2.05113716600134e-06	2.58192888999353e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella	Site	Cecum	2.21814087376793	0.386742347111852	53	38	2.10769705305594e-06	2.58192888999353e-05
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	Site	Cecum	2.05495326338343	0.361819625278738	53	50	2.38537456295752e-06	2.83353584448287e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.UCG.014.f__.g__	Site	Cecum	0.624524297795	0.110121908538747	53	53	2.53168328033276e-06	2.91888189967777e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	Site	Proximal_Colon	1.34737425574465	0.246167955396812	53	53	4.56531455217376e-06	5.11315229843461e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	Site	Proximal_Colon	1.20044183236435	0.223069421973077	53	53	5.9765867875894e-06	6.50783894648623e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__	Site	Cecum	1.54068727315981	0.287643667132768	53	52	6.26122997419234e-06	6.63351932400919e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.FCS020.group	Site	Proximal_Colon	1.64197164489698	0.30988636652227	53	50	7.61474935930765e-06	7.85521512854894e-05
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	Site	Proximal_Colon	1.85308062003163	0.355033439466283	53	50	9.591242882929e-06	9.39941802527042e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Butyricicoccus	Site	Proximal_Colon	1.75605774414394	0.336554245771629	53	52	9.54202201013883e-06	9.39941802527042e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__Peptococcus	Site	Cecum	2.34023493458788	0.451299303195492	53	41	1.02766500497673e-05	9.82548004758242e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006	Site	Proximal_Colon	1.14628228929758	0.230703160011849	53	53	2.02702600631172e-05	0.000189189093922427
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__	Site	Proximal_Colon	1.5853440826468	0.322435344982505	53	51	2.32029874957712e-05	0.000208744498505797
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__.g__	Site	Cecum	-1.91807453649332	0.390151750906271	53	42	2.34305049343241e-05	0.000208744498505797
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	Site	Proximal_Colon	1.54727728217536	0.319260740110301	53	53	2.89663610043661e-05	0.000252329189193589
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas	Site	Proximal_Colon	0.975363361101654	0.204971340201242	53	53	3.7184267444181e-05	0.000316874626915629
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Butyricicoccus	Site	Cecum	1.6142577063642	0.343091939245787	53	52	4.25955915289973e-05	0.000355265359135466
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	Site	Cecum	0.851871870538462	0.181925032815004	53	53	4.64052290649081e-05	0.000378976037363416
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family.XIII.UCG.001	Site	Proximal_Colon	2.19171517376383	0.470867865865563	53	44	5.06202985820245e-05	0.000404962388656196
k__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma	Site	Proximal_Colon	1.0916995815877	0.238601644976497	53	41	6.41194983911146e-05	0.000502696867386338
k__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma	Site	Cecum	1.07798855830964	0.243754767652942	53	41	9.99050161876678e-05	0.00076789737932482
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..brachy.group	Site	Cecum	2.71079536993569	0.617673681652626	53	35	0.00010688092923766	0.000805717774253128
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.AC2044.group	Site	Cecum	1.40406088012954	0.320093666372829	53	25	0.000110919052736755	0.000820382427788828
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__	Site	Proximal_Colon	0.378457135381394	0.0873666524756671	53	48	0.000130243225002256	0.000945469337053414
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Site	Proximal_Colon	-0.286212549976291	0.0666101960513434	53	53	0.000143365310114884	0.00102180366481881
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214.group	Site	Proximal_Colon	1.10339602699638	0.258627810985513	53	51	0.00016449110424245	0.00115143772969715
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__	Site	Proximal_Colon	1.30624478241263	0.308167805208245	53	51	0.000181042859426078	0.00124506668236882
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	Site	Cecum	2.32008775400519	0.579143930027199	53	39	0.000330942653837565	0.00223671586731595
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	Site	Proximal_Colon	1.12242331758845	0.283404927955298	53	51	0.000377133955712923	0.00250570357016043
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.001	Site	Proximal_Colon	1.30285303490142	0.331255337661421	53	47	0.000407991923670672	0.00266554723464839
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__.Eubacterium..siraeum.group	Site	Cecum	1.57649603538607	0.409441477548184	53	34	0.000510292956077453	0.00327925965216986
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	Site	Proximal_Colon	1.22742704623297	0.32123669200879	53	52	0.000555924047813859	0.00351487462488763
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	Site	Cecum	0.970769214137804	0.262456823442112	53	47	0.000780661131771293	0.00485744704213249
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Site	Proximal_Colon	0.548086576936772	0.149772698560242	53	53	0.000872957527872836	0.00534686485822112
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	Site	Proximal_Colon	0.64962311035915	0.178174335859679	53	53	0.00090592191745878	0.00546340602528987
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.001	Site	Cecum	1.22002011997867	0.338225104858426	53	47	0.00101014608707304	0.0059996555474641
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Anaerofustaceae.g__Anaerofustis	Site	Cecum	1.72696024357125	0.485486331589442	53	36	0.00115709911351604	0.00667529320695749
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.004	Site	Proximal_Colon	1.22613793255758	0.344475775344105	53	44	0.00115795902569671	0.00667529320695749
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis	Site	Proximal_Colon	0.778209795569966	0.221633560327631	53	53	0.00131086023177544	0.00744720595443438
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Agathobacter	Site	Cecum	0.594838154002892	0.170375036009181	53	12	0.00137376232715714	0.00769306903207998
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerostipes	Site	Cecum	0.696520748180641	0.200885581800802	53	34	0.00148189201207601	0.008181713644138
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Fusicatenibacter	Site	Cecum	0.580499563802206	0.168267569742562	53	11	0.00153789448834362	0.00837298110320417
k__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	Site	Cecum	-0.961148873632803	0.278754472536655	53	40	0.00155997507621317	0.00837685246404882
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Dorea	Site	Cecum	0.728570501230281	0.221366103817	53	15	0.00237579674424345	0.0125853016722085
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	Site	Cecum	0.164630910275594	0.0522825529852371	53	18	0.00346874796809823	0.0181299893799267
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	Site	Cecum	-0.569827838615033	0.183956441172217	53	52	0.00395593668687549	0.0202660607965579
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus	Site	Cecum	0.530508530217681	0.171354914333351	53	52	0.00398083337075244	0.0202660607965579
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dubosiella	Site	Proximal_Colon	-0.656549267438962	0.212770404111316	53	18	0.00408124670278024	0.0204504949040593
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	Site	Cecum	0.468242389344457	0.151923680270471	53	53	0.00412140075872624	0.0204504949040593
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..xylanophilum.group	Site	Proximal_Colon	1.06214146481687	0.345291496318273	53	36	0.00420330794858907	0.0205962089480864
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Anaerotruncus	Site	Cecum	1.08985286094124	0.355623438576212	53	21	0.00431231406124068	0.0208694705185968
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Ligilactobacillus	Site	Cecum	-0.391861524880996	0.128728665003042	53	53	0.00455427416601198	0.0210032408597259
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.AC2044.group	Site	Proximal_Colon	0.956716497780466	0.31332218394848	53	25	0.00444990300989837	0.0210032408597259
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.005	Site	Cecum	-1.10728280159809	0.363571149795764	53	36	0.00452429144629495	0.0210032408597259
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Anaerotruncus	Site	Proximal_Colon	1.0628534624428	0.348306827065945	53	21	0.00446967714211909	0.0210032408597259
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae.UCG.002	Site	Proximal_Colon	0.280573137438369	0.0926653623153696	53	50	0.0047537868998778	0.0216684240087453
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	Site	Proximal_Colon	1.68912942469679	0.56830663499522	53	39	0.00551441611097241	0.0247681723630614
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010.g__	Site	Proximal_Colon	-1.05504092766979	0.355456407433607	53	46	0.0055602019590546	0.0247681723630614
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.010	Site	Cecum	0.780284231405467	0.269674604423877	53	12	0.00667197239703106	0.0293866649397323
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerostipes	Site	Proximal_Colon	0.559225319952824	0.196612219025805	53	34	0.00758689845125097	0.033045157698782
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium	Site	Cecum	0.511550991443232	0.180598924483156	53	50	0.00781533882121276	0.0336660749221473
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	Site	Proximal_Colon	0.143320524530178	0.051170090809032	53	18	0.00845629881106868	0.0360311862384665
k__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	Site	Proximal_Colon	-0.754255946338303	0.272920558154894	53	40	0.00927916579870726	0.0391121827214328
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella	Site	Proximal_Colon	1.03587652415788	0.379029108342637	53	38	0.0100324221862131	0.0418373350744206
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..xylanophilum.group	Site	Cecum	0.948037857367783	0.352605192308562	53	36	0.0111607322624906	0.0460527057568035
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	Site	Proximal_Colon	0.677496915254678	0.257033253005131	53	47	0.0126826875950563	0.0516887514555877
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.sensu.stricto.1	Site	Cecum	0.51833637904306	0.196902960777762	53	9	0.0127903288040612	0.0516887514555877
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum	Site	Cecum	-0.197246039770294	0.0762777676865321	53	53	0.0143003958393006	0.0572015833572026
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.005	Site	Proximal_Colon	-0.914532113501391	0.35620751075426	53	36	0.0149535583773605	0.0592100493325791
k__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus	Site	Cecum	0.493638394744446	0.195543214431544	53	37	0.0165743093791104	0.0649712927661128
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__Peptococcus	Site	Proximal_Colon	1.1010538633891	0.442684848630105	53	41	0.018070713244661	0.0701358375436347
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Site	Cecum	0.275520188043501	0.11107750378998	53	53	0.0183948320893072	0.0706938645000825
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	Site	Cecum	-0.535086212371836	0.220958385102949	53	8	0.021078870405645	0.0802224970777947
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	Site	Proximal_Colon	0.460136495002487	0.191852730297839	53	52	0.022284943340676	0.0831202533962967
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Site	Cecum	0.739495347694454	0.308870644038195	53	28	0.0224763950510394	0.0831202533962967
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.003	Site	Proximal_Colon	0.351027045660452	0.146592751701397	53	9	0.0224682191029708	0.0831202533962967
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Dorea	Site	Proximal_Colon	0.493970819781181	0.216747580994169	53	15	0.0292590765218036	0.106236958732749
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__.Eubacterium..siraeum.group	Site	Proximal_Colon	0.913825863435329	0.401024699180106	53	34	0.0292693661814717	0.106236958732749
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009	Site	Proximal_Colon	0.664717762287965	0.292822355045997	53	11	0.0299314631279758	0.107643427029051
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..nodatum.group	Site	Cecum	0.614089725362686	0.271807587448025	53	37	0.0305384587420127	0.108827962062445
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	Site	Cecum	0.435884575121839	0.195929901162841	53	52	0.0330446612770861	0.116698263248808
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Genotype	HET	-2.29772291001195	0.997771026872022	53	53	0.0360249764809108	0.126087417683188
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriales.Incertae.Sedis.g__	Site	Proximal_Colon	0.215239721630721	0.098815203480901	53	9	0.0366328126625112	0.1270801996788
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__UBA1819	Site	Cecum	0.412325598225492	0.190001853217153	53	8	0.0372064001188667	0.127937796899963
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Site	Proximal_Colon	0.649909119632519	0.302679168066803	53	28	0.0392323052468276	0.133730988319621
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Genotype	MUT	-2.22340397003213	0.99751104892388	53	53	0.0415488262182259	0.140406378254694
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.010	Site	Proximal_Colon	0.559364294068574	0.264302813360006	53	12	0.0419110379864969	0.140419887954759
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Agathobacter	Site	Proximal_Colon	0.351538960916362	0.167068429439439	53	12	0.0430293541966737	0.142944973263526
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	Site	Cecum	0.398728950161391	0.19033417431518	53	49	0.0439344091519739	0.143174208842969
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus	Site	Proximal_Colon	0.351930501173559	0.167766273118668	53	52	0.0436689223965367	0.143174208842969
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium	Site	Cecum	0.371311829158021	0.177584122647352	53	10	0.0441940797704064	0.143174208842969
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillospira	Site	Proximal_Colon	0.632281712247542	0.307222984244242	53	14	0.0475232592881	0.152697685581436
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	Site	Proximal_Colon	0.444383441815958	0.21849034170319	53	21	0.0500651118640488	0.158270353634735
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..brachy.group	Site	Proximal_Colon	1.23356963744933	0.60638851779964	53	35	0.0499583340042595	0.158270353634735
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriales.Incertae.Sedis.g__	Site	Cecum	0.201836381427881	0.10093597570209	53	9	0.0538079781691527	0.16350951505665
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__HT002	Site	Proximal_Colon	0.202087098011964	0.100625224706333	53	53	0.0528502382202779	0.16350951505665
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Genotype	MUT	-0.846087396836287	0.401730891000262	53	53	0.0525005698425504	0.16350951505665
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214.group	Genotype	HET	-0.597247823221079	0.28328944754516	53	51	0.0533693634608743	0.16350951505665
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas	Site	Cecum	0.392270925673744	0.196113156254259	53	46	0.0537579525205518	0.16350951505665
