SampleID,Sex,Genotype,Site,SampleType,MouseID,Litter,Breeder,Site_General,Subset
SLCLTDTT067,Male,WT,Distal_Colon,Mucosal,269,nine,116,Colon,Mucosal_Colon
SLCLTDTT073,Male,WT,Distal_Colon,Mucosal,267,nine,116,Colon,Mucosal_Colon
SLCLTDTT079,Male,WT,Distal_Colon,Mucosal,266,nine,116,Colon,Mucosal_Colon
SLCLTFP067,Male,WT,Distal_Colon,Luminal,269,nine,116,Colon,Luminal_Colon
SLCLTFP073,Male,WT,Distal_Colon,Luminal,267,nine,116,Colon,Luminal_Colon
SLCLTFP079,Male,WT,Distal_Colon,Luminal,266,nine,116,Colon,Luminal_Colon
SLCLTDTT006,Female,HET,Duodenum,Mucosal,274,five,112,SI,Mucosal_SI
SLCLTDTT012,Female,HET,Duodenum,Mucosal,282,one,110,SI,Mucosal_SI
SLCLTDTT018,Female,HET,Duodenum,Mucosal,284,one,110,SI,Mucosal_SI
SLCLTDTT024,Female,HET,Duodenum,Mucosal,288,three,111,SI,Mucosal_SI
SLCLTDTT096,Female,HET,Duodenum,Mucosal,317,two,110,SI,Mucosal_SI
SLCLTDTT102,Female,HET,Duodenum,Mucosal,340,seven,114,SI,Mucosal_SI
SLCLTDTT108,Female,HET,Duodenum,Mucosal,342,seven,114,SI,Mucosal_SI
SLCLTDTT114,Female,HET,Duodenum,Mucosal,341,seven,114,SI,Mucosal_SI
SLCLTDTT144,Female,HET,Duodenum,Mucosal,336,ten,116,SI,Mucosal_SI
SLCLTDTT150,Female,HET,Duodenum,Mucosal,325,eight,115,SI,Mucosal_SI
SLCLTFP006,Female,HET,Duodenum,Luminal,274,five,112,SI,Luminal_SI
SLCLTFP012,Female,HET,Duodenum,Luminal,282,one,110,SI,Luminal_SI
SLCLTFP018,Female,HET,Duodenum,Luminal,284,one,110,SI,Luminal_SI
SLCLTFP024,Female,HET,Duodenum,Luminal,288,three,111,SI,Luminal_SI
SLCLTFP096,Female,HET,Duodenum,Luminal,317,two,110,SI,Luminal_SI
SLCLTFP102,Female,HET,Duodenum,Luminal,340,seven,114,SI,Luminal_SI
SLCLTFP108,Female,HET,Duodenum,Luminal,342,seven,114,SI,Luminal_SI
SLCLTFP114,Female,HET,Duodenum,Luminal,341,seven,114,SI,Luminal_SI
SLCLTFP144,Female,HET,Duodenum,Luminal,336,ten,116,SI,Luminal_SI
SLCLTFP150,Female,HET,Duodenum,Luminal,325,eight,115,SI,Luminal_SI
SLCLTDTT042,Female,MUT,Duodenum,Mucosal,275,five,112,SI,Mucosal_SI
SLCLTDTT048,Female,MUT,Duodenum,Mucosal,273,five,112,SI,Mucosal_SI
SLCLTDTT120,Female,MUT,Duodenum,Mucosal,337,seven,114,SI,Mucosal_SI
SLCLTDTT126,Female,MUT,Duodenum,Mucosal,339,seven,114,SI,Mucosal_SI
SLCLTDTT156,Female,MUT,Duodenum,Mucosal,324,eight,115,SI,Mucosal_SI
SLCLTDTT162,Female,MUT,Duodenum,Mucosal,306,four,111,SI,Mucosal_SI
SLCLTFP042,Female,MUT,Duodenum,Luminal,275,five,112,SI,Luminal_SI
SLCLTFP048,Female,MUT,Duodenum,Luminal,273,five,112,SI,Luminal_SI
SLCLTFP120,Female,MUT,Duodenum,Luminal,337,seven,114,SI,Luminal_SI
SLCLTFP126,Female,MUT,Duodenum,Luminal,339,seven,114,SI,Luminal_SI
SLCLTFP156,Female,MUT,Duodenum,Luminal,324,eight,115,SI,Luminal_SI
SLCLTFP162,Female,MUT,Duodenum,Luminal,306,four,111,SI,Luminal_SI
SLCLTDTT060,Female,WT,Duodenum,Mucosal,270,nine,116,SI,Mucosal_SI
SLCLTDTT066,Female,WT,Duodenum,Mucosal,283,one,110,SI,Mucosal_SI
SLCLTDTT132,Female,WT,Duodenum,Mucosal,307,eight,115,SI,Mucosal_SI
SLCLTDTT138,Female,WT,Duodenum,Mucosal,309,six,113,SI,Mucosal_SI
SLCLTFP060,Female,WT,Duodenum,Luminal,270,nine,116,SI,Luminal_SI
SLCLTFP066,Female,WT,Duodenum,Luminal,283,one,110,SI,Luminal_SI
SLCLTFP132,Female,WT,Duodenum,Luminal,307,eight,115,SI,Luminal_SI
SLCLTFP138,Female,WT,Duodenum,Luminal,309,six,113,SI,Luminal_SI
SLCLTDTT030,Male,HET,Duodenum,Mucosal,272,five,112,SI,Mucosal_SI
SLCLTDTT036,Male,HET,Duodenum,Mucosal,289,three,111,SI,Mucosal_SI
SLCLTDTT168,Male,HET,Duodenum,Mucosal,334,ten,116,SI,Mucosal_SI
SLCLTDTT174,Male,HET,Duodenum,Mucosal,323,eight,115,SI,Mucosal_SI
SLCLTDTT180,Male,HET,Duodenum,Mucosal,322,eight,115,SI,Mucosal_SI
SLCLTDTT186,Male,HET,Duodenum,Mucosal,303,four,111,SI,Mucosal_SI
SLCLTFP030,Male,HET,Duodenum,Luminal,272,five,112,SI,Luminal_SI
SLCLTFP036,Male,HET,Duodenum,Luminal,289,three,111,SI,Luminal_SI
SLCLTFP168,Male,HET,Duodenum,Luminal,334,ten,116,SI,Luminal_SI
SLCLTFP174,Male,HET,Duodenum,Luminal,323,eight,115,SI,Luminal_SI
SLCLTFP180,Male,HET,Duodenum,Luminal,322,eight,115,SI,Luminal_SI
SLCLTFP186,Male,HET,Duodenum,Luminal,303,four,111,SI,Luminal_SI
SLCLTDTT054,Male,MUT,Duodenum,Mucosal,331,eight,115,SI,Mucosal_SI
SLCLTFP054,Male,MUT,Duodenum,Luminal,331,eight,115,SI,Luminal_SI
SLCLTDTT072,Male,WT,Duodenum,Mucosal,269,nine,116,SI,Mucosal_SI
SLCLTDTT078,Male,WT,Duodenum,Mucosal,267,nine,116,SI,Mucosal_SI
SLCLTDTT084,Male,WT,Duodenum,Mucosal,266,nine,116,SI,Mucosal_SI
SLCLTFP072,Male,WT,Duodenum,Luminal,269,nine,116,SI,Luminal_SI
SLCLTFP078,Male,WT,Duodenum,Luminal,267,nine,116,SI,Luminal_SI
SLCLTFP084,Male,WT,Duodenum,Luminal,266,nine,116,SI,Luminal_SI
SLCLTDTT004,Female,HET,Ileum,Mucosal,274,five,112,SI,Mucosal_SI
SLCLTDTT010,Female,HET,Ileum,Mucosal,282,one,110,SI,Mucosal_SI
SLCLTDTT016,Female,HET,Ileum,Mucosal,284,one,110,SI,Mucosal_SI
SLCLTDTT022,Female,HET,Ileum,Mucosal,288,three,111,SI,Mucosal_SI
SLCLTDTT094,Female,HET,Ileum,Mucosal,317,two,110,SI,Mucosal_SI
SLCLTDTT100,Female,HET,Ileum,Mucosal,340,seven,114,SI,Mucosal_SI
SLCLTDTT106,Female,HET,Ileum,Mucosal,342,seven,114,SI,Mucosal_SI
SLCLTDTT112,Female,HET,Ileum,Mucosal,341,seven,114,SI,Mucosal_SI
SLCLTDTT142,Female,HET,Ileum,Mucosal,336,ten,116,SI,Mucosal_SI
SLCLTDTT148,Female,HET,Ileum,Mucosal,325,eight,115,SI,Mucosal_SI
SLCLTFP004,Female,HET,Ileum,Luminal,274,five,112,SI,Luminal_SI
SLCLTFP010,Female,HET,Ileum,Luminal,282,one,110,SI,Luminal_SI
SLCLTFP016,Female,HET,Ileum,Luminal,284,one,110,SI,Luminal_SI
SLCLTFP022,Female,HET,Ileum,Luminal,288,three,111,SI,Luminal_SI
SLCLTFP094,Female,HET,Ileum,Luminal,317,two,110,SI,Luminal_SI
SLCLTFP100,Female,HET,Ileum,Luminal,340,seven,114,SI,Luminal_SI
SLCLTFP106,Female,HET,Ileum,Luminal,342,seven,114,SI,Luminal_SI
SLCLTFP112,Female,HET,Ileum,Luminal,341,seven,114,SI,Luminal_SI
SLCLTFP142,Female,HET,Ileum,Luminal,336,ten,116,SI,Luminal_SI
SLCLTFP148,Female,HET,Ileum,Luminal,325,eight,115,SI,Luminal_SI
SLCLTDTT040,Female,MUT,Ileum,Mucosal,275,five,112,SI,Mucosal_SI
SLCLTDTT046,Female,MUT,Ileum,Mucosal,273,five,112,SI,Mucosal_SI
SLCLTDTT118,Female,MUT,Ileum,Mucosal,337,seven,114,SI,Mucosal_SI
SLCLTDTT124,Female,MUT,Ileum,Mucosal,339,seven,114,SI,Mucosal_SI
SLCLTDTT154,Female,MUT,Ileum,Mucosal,324,eight,115,SI,Mucosal_SI
SLCLTDTT160,Female,MUT,Ileum,Mucosal,306,four,111,SI,Mucosal_SI
SLCLTFP040,Female,MUT,Ileum,Luminal,275,five,112,SI,Luminal_SI
SLCLTFP046,Female,MUT,Ileum,Luminal,273,five,112,SI,Luminal_SI
SLCLTFP118,Female,MUT,Ileum,Luminal,337,seven,114,SI,Luminal_SI
SLCLTFP124,Female,MUT,Ileum,Luminal,339,seven,114,SI,Luminal_SI
SLCLTFP154,Female,MUT,Ileum,Luminal,324,eight,115,SI,Luminal_SI
SLCLTFP160,Female,MUT,Ileum,Luminal,306,four,111,SI,Luminal_SI
SLCLTDTT058,Female,WT,Ileum,Mucosal,270,nine,116,SI,Mucosal_SI
SLCLTDTT064,Female,WT,Ileum,Mucosal,283,one,110,SI,Mucosal_SI
SLCLTDTT130,Female,WT,Ileum,Mucosal,307,eight,115,SI,Mucosal_SI
SLCLTDTT136,Female,WT,Ileum,Mucosal,309,six,113,SI,Mucosal_SI
SLCLTFP058,Female,WT,Ileum,Luminal,270,nine,116,SI,Luminal_SI
SLCLTFP064,Female,WT,Ileum,Luminal,283,one,110,SI,Luminal_SI
SLCLTFP130,Female,WT,Ileum,Luminal,307,eight,115,SI,Luminal_SI
SLCLTFP136,Female,WT,Ileum,Luminal,309,six,113,SI,Luminal_SI
SLCLTDTT028,Male,HET,Ileum,Mucosal,272,five,112,SI,Mucosal_SI
SLCLTDTT034,Male,HET,Ileum,Mucosal,289,three,111,SI,Mucosal_SI
SLCLTDTT166,Male,HET,Ileum,Mucosal,334,ten,116,SI,Mucosal_SI
SLCLTDTT172,Male,HET,Ileum,Mucosal,323,eight,115,SI,Mucosal_SI
SLCLTDTT178,Male,HET,Ileum,Mucosal,322,eight,115,SI,Mucosal_SI
SLCLTDTT184,Male,HET,Ileum,Mucosal,303,four,111,SI,Mucosal_SI
SLCLTFP028,Male,HET,Ileum,Luminal,272,five,112,SI,Luminal_SI
SLCLTFP034,Male,HET,Ileum,Luminal,289,three,111,SI,Luminal_SI
SLCLTFP166,Male,HET,Ileum,Luminal,334,ten,116,SI,Luminal_SI
SLCLTFP172,Male,HET,Ileum,Luminal,323,eight,115,SI,Luminal_SI
SLCLTFP178,Male,HET,Ileum,Luminal,322,eight,115,SI,Luminal_SI
SLCLTFP184,Male,HET,Ileum,Luminal,303,four,111,SI,Luminal_SI
SLCLTDTT052,Male,MUT,Ileum,Mucosal,331,eight,115,SI,Mucosal_SI
SLCLTFP052,Male,MUT,Ileum,Luminal,331,eight,115,SI,Luminal_SI
SLCLTDTT070,Male,WT,Ileum,Mucosal,269,nine,116,SI,Mucosal_SI
SLCLTDTT076,Male,WT,Ileum,Mucosal,267,nine,116,SI,Mucosal_SI
SLCLTDTT082,Male,WT,Ileum,Mucosal,266,nine,116,SI,Mucosal_SI
SLCLTFP070,Male,WT,Ileum,Luminal,269,nine,116,SI,Luminal_SI
SLCLTFP076,Male,WT,Ileum,Luminal,267,nine,116,SI,Luminal_SI
SLCLTFP082,Male,WT,Ileum,Luminal,266,nine,116,SI,Luminal_SI
SLCLTDTT005,Female,HET,Jejunum,Mucosal,274,five,112,SI,Mucosal_SI
SLCLTDTT011,Female,HET,Jejunum,Mucosal,282,one,110,SI,Mucosal_SI
SLCLTDTT017,Female,HET,Jejunum,Mucosal,284,one,110,SI,Mucosal_SI
SLCLTDTT023,Female,HET,Jejunum,Mucosal,288,three,111,SI,Mucosal_SI
SLCLTDTT095,Female,HET,Jejunum,Mucosal,317,two,110,SI,Mucosal_SI
SLCLTDTT101,Female,HET,Jejunum,Mucosal,340,seven,114,SI,Mucosal_SI
SLCLTDTT107,Female,HET,Jejunum,Mucosal,342,seven,114,SI,Mucosal_SI
SLCLTDTT113,Female,HET,Jejunum,Mucosal,341,seven,114,SI,Mucosal_SI
SLCLTDTT143,Female,HET,Jejunum,Mucosal,336,ten,116,SI,Mucosal_SI
SLCLTDTT149,Female,HET,Jejunum,Mucosal,325,eight,115,SI,Mucosal_SI
SLCLTFP005,Female,HET,Jejunum,Luminal,274,five,112,SI,Luminal_SI
SLCLTFP011,Female,HET,Jejunum,Luminal,282,one,110,SI,Luminal_SI
SLCLTFP017,Female,HET,Jejunum,Luminal,284,one,110,SI,Luminal_SI
SLCLTFP023,Female,HET,Jejunum,Luminal,288,three,111,SI,Luminal_SI
SLCLTFP095,Female,HET,Jejunum,Luminal,317,two,110,SI,Luminal_SI
SLCLTFP101,Female,HET,Jejunum,Luminal,340,seven,114,SI,Luminal_SI
SLCLTFP107,Female,HET,Jejunum,Luminal,342,seven,114,SI,Luminal_SI
SLCLTFP113,Female,HET,Jejunum,Luminal,341,seven,114,SI,Luminal_SI
SLCLTFP143,Female,HET,Jejunum,Luminal,336,ten,116,SI,Luminal_SI
SLCLTFP149,Female,HET,Jejunum,Luminal,325,eight,115,SI,Luminal_SI
SLCLTDTT041,Female,MUT,Jejunum,Mucosal,275,five,112,SI,Mucosal_SI
SLCLTDTT047,Female,MUT,Jejunum,Mucosal,273,five,112,SI,Mucosal_SI
SLCLTDTT119,Female,MUT,Jejunum,Mucosal,337,seven,114,SI,Mucosal_SI
SLCLTDTT125,Female,MUT,Jejunum,Mucosal,339,seven,114,SI,Mucosal_SI
SLCLTDTT155,Female,MUT,Jejunum,Mucosal,324,eight,115,SI,Mucosal_SI
SLCLTDTT161,Female,MUT,Jejunum,Mucosal,306,four,111,SI,Mucosal_SI
SLCLTFP041,Female,MUT,Jejunum,Luminal,275,five,112,SI,Luminal_SI
SLCLTFP047,Female,MUT,Jejunum,Luminal,273,five,112,SI,Luminal_SI
SLCLTFP119,Female,MUT,Jejunum,Luminal,337,seven,114,SI,Luminal_SI
SLCLTFP125,Female,MUT,Jejunum,Luminal,339,seven,114,SI,Luminal_SI
SLCLTFP155,Female,MUT,Jejunum,Luminal,324,eight,115,SI,Luminal_SI
SLCLTFP161,Female,MUT,Jejunum,Luminal,306,four,111,SI,Luminal_SI
SLCLTDTT059,Female,WT,Jejunum,Mucosal,270,nine,116,SI,Mucosal_SI
SLCLTDTT065,Female,WT,Jejunum,Mucosal,283,one,110,SI,Mucosal_SI
SLCLTDTT131,Female,WT,Jejunum,Mucosal,307,eight,115,SI,Mucosal_SI
SLCLTDTT137,Female,WT,Jejunum,Mucosal,309,six,113,SI,Mucosal_SI
SLCLTFP059,Female,WT,Jejunum,Luminal,270,nine,116,SI,Luminal_SI
SLCLTFP065,Female,WT,Jejunum,Luminal,283,one,110,SI,Luminal_SI
SLCLTFP131,Female,WT,Jejunum,Luminal,307,eight,115,SI,Luminal_SI
SLCLTFP137,Female,WT,Jejunum,Luminal,309,six,113,SI,Luminal_SI
SLCLTDTT029,Male,HET,Jejunum,Mucosal,272,five,112,SI,Mucosal_SI
SLCLTDTT035,Male,HET,Jejunum,Mucosal,289,three,111,SI,Mucosal_SI
SLCLTDTT167,Male,HET,Jejunum,Mucosal,334,ten,116,SI,Mucosal_SI
SLCLTDTT173,Male,HET,Jejunum,Mucosal,323,eight,115,SI,Mucosal_SI
SLCLTDTT179,Male,HET,Jejunum,Mucosal,322,eight,115,SI,Mucosal_SI
SLCLTDTT185,Male,HET,Jejunum,Mucosal,303,four,111,SI,Mucosal_SI
SLCLTFP029,Male,HET,Jejunum,Luminal,272,five,112,SI,Luminal_SI
SLCLTFP035,Male,HET,Jejunum,Luminal,289,three,111,SI,Luminal_SI
SLCLTFP167,Male,HET,Jejunum,Luminal,334,ten,116,SI,Luminal_SI
SLCLTFP173,Male,HET,Jejunum,Luminal,323,eight,115,SI,Luminal_SI
SLCLTFP179,Male,HET,Jejunum,Luminal,322,eight,115,SI,Luminal_SI
SLCLTFP185,Male,HET,Jejunum,Luminal,303,four,111,SI,Luminal_SI
SLCLTDTT053,Male,MUT,Jejunum,Mucosal,331,eight,115,SI,Mucosal_SI
SLCLTFP053,Male,MUT,Jejunum,Luminal,331,eight,115,SI,Luminal_SI
SLCLTDTT071,Male,WT,Jejunum,Mucosal,269,nine,116,SI,Mucosal_SI
SLCLTDTT077,Male,WT,Jejunum,Mucosal,267,nine,116,SI,Mucosal_SI
SLCLTDTT083,Male,WT,Jejunum,Mucosal,266,nine,116,SI,Mucosal_SI
SLCLTFP071,Male,WT,Jejunum,Luminal,269,nine,116,SI,Luminal_SI
SLCLTFP077,Male,WT,Jejunum,Luminal,267,nine,116,SI,Luminal_SI
SLCLTFP083,Male,WT,Jejunum,Luminal,266,nine,116,SI,Luminal_SI
SLCLTDTT002,Female,HET,Proximal_Colon,Mucosal,274,five,112,Colon,Mucosal_Colon
